Notes,State,State Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate
,West Virginia,54,75-79 years,75-79,60,65706,91.3
,West Virginia,54,80-84 years,80-84,55,43846,125.4
,West Virginia,54,85-89 years,85-89,56,Not Applicable,Not Applicable
,West Virginia,54,90-94 years,90-94,39,Not Applicable,Not Applicable
,West Virginia,54,95-99 years,95-99,20,Not Applicable,Not Applicable
,Wisconsin,55,50-54 years,50-54,16,372225,Unreliable
,Wisconsin,55,55-59 years,55-59,23,422240,5.4
,Wisconsin,55,60-64 years ,60-64,34,400778,8.5
,Wisconsin,55,65-69 years,65-69,46,338616,13.6
,Wisconsin,55,70-74 years,70-74,51,256132,19.9
,Wisconsin,55,75-79 years,75-79,65,175288,37.1
,Wisconsin,55,80-84 years,80-84,83,118898,69.8
,Wisconsin,55,85-89 years,85-89,96,Not Applicable,Not Applicable
,Wisconsin,55,90-94 years,90-94,133,Not Applicable,Not Applicable
,Wisconsin,55,95-99 years,95-99,65,Not Applicable,Not Applicable
,Wisconsin,55,100+ years,100+,17,Not Applicable,Not Applicable
,Wyoming,56,85-89 years,85-89,18,Not Applicable,Not Applicable
,Wyoming,56,90-94 years,90-94,16,Not Applicable,Not Applicable
